old                                      new
003fd06a054cad2d3ebf7e29f0fa4552971b7517 db2c30324af4952d0b9a4b4b635bba1a800b08e1
016c0dbe8d7e6ddf9079eccb9907c4e42d2a07aa 9c79bd6520284679a52dde28a2c5a6a4784bfca6
01b0f308f6c9b2a35809ea984fde8fb3702ac03e b752cec990a3f52df76091c0409abadca00927af
060d405914f2499664fb73de484cbd8396700543 8ff86481932f32679d35393212cd195653515976
06aa6b709db248cc5ebe1563426e87f10d9c3261 6cdf1f4d1d127fd6dc1abbbc51ec7d5347359bf6
0884726f4d162e51eec9b07f5917643bc9dc3eac 98f2bd5931cfe25025cbbda6c34abcd511231158
08fea389679013a9c5d3a35012bb2519e511cefc e35e50cb71d41ef870ea6e65e719696c5350cddf
09d47178764735bac0ba1097ec9484af4fa53016 a26693c2fb3763f3ac4bb7b6a8be4c595f96e596
0b725495752f9ac3c7308e30ed16a2cc8cf641be 0ec325cbecbef997881e34ecd45b94e5cd9e0f27
0cee4dcec5e440b40046f6f0a590a0f96c40179a 801003a9435907e27fe759f28e1448654ef0b1a5
0cf88978c194d8b966f05f9364c58938fdbfed0b 940db2cb21435604a3fae8696831fc7323b65cbf
141c3aeac3f41f7d6b9cdd3ddfdf8639f5666771 280c81231860008623e2551f5a48912f7db27967
1adcd42ca90aae6421c9636044c56726941aa5ca d8044e195d851b34f11eae17d841fed217b0aec6
1ae12524d69afdb6d4ede2676aa58a4b517f2718 80f87b566d77f01fb1d915f9c4c750a4a34c466a
1b391a38ab7d079ed3e9998153e83c92ba2a3f53 88a264b11a7c0fa349e500917534ddc45d10def2
1b51589a694338ac2444b0cdce702f2a9015500c 6b5daa7f71a0b31fd596a85d263fcc6a28e212aa
1c27fff6b97f04f88b8b8c293a1f23aa7714c968 74b8de283cca0839528432bb677378925e1ae9e2
1e0f162a986d3b5badf821470374ccef45fe2e19 dd88c6fe060f03298b38833d77358c0285388fe4
2348c71020720478681bd313102b1de7987a39ff 2f32e6a136a1cf0ce07556634f4ec2b0b2191a0a
2409f2151f594a7d0444cb1c288c75501937e780 cf9c1e441243a5f8c9c6b46797e174eaaa0397c1
24c6b60e37ce81494157dab2e98d2dc9b2274f15 c14eb27a4c11de5e61c0e40c41f721ef26fe9c3f
25ab3ea03a41a80b697a74bed7c9ec4710d0ee8d 15740ce49fca6d4a06e8d847fc7be7c52683c4ef
277fb89aab148fcda6c38b385e6dd9eea103ac5b 794b5e4cfc53b5d24fe23ab4deb8524ff0e14a8a
27da02a5f3618eb1053d85a538f648fa08743ac4 39031f92880186debecf9d7211aabb4e05c1c24d
2a1afc0b84228ff9eb053ddbb639d03489d1af59 d00896dad10ed7122acd4b92174eff073820146e
2e0905542a371abd4ecef78e62bc073fc76d13f7 d10a6d41a4d6183bf0c362304ca66bf500178240
306976783ea49256f4896fedc19f930b480a7294 a0fcc4c9ecda0d2cf2fcf56fee27d8dde259e36f
307610e708f6027bcc3ed16a27f7741a1d867ec3 9ae94e360cb78751ac01d490ca0bf3220fd474c6
3210246aa51bff7b1ec7142b5e54c4d6abaab639 da9caf00191f294e2ef8eaddac393a73dbea3cb4
3452aaf17dfb86547e9488b13d30d7e54b082633 a42cadc0702458a7a8e0d98b29afc3aaaeb89496
37ec66d030480c8ca2c6fcfcdfda2884f2d40538 4f10e4ca57ac423696523cc2b0a55414c8567cdf
3c0bd21de2961fbca4360f4fa02837620eca83bf 65a533ec557c6eeb3980e87384718c6375b18b91
3de1900461eef541de709961dd9b019abc7620f6 4390579170ee098361865dadfcedc6b4e2920108
3eb978e2973c4a44caf2dba85d476b21ed88981f b9cec1c924a12a076ea367ea4f69fbe82b659c28
4110460081dddc67f5bfbecf226a6fc73f2b2995 7ddd581c46b2389949c2ae343dc174e151f7ed01
42dfb08854cc0069e67b99086b5b603f0cdd8aca 855b5e01bf3188ac2051f4802f18cf577aa75608
4d5af9fe00f91ab5b615e8fa999da70a32d39885 6f9c8e932d4a8098c476c84303e8105e27e6b6be
4ec15672047f41cda590b8ad3e5e117101cde033 bbce7408efe9aa9553088159538315f2f7c38982
549dff1580cd40051356a68ac5669b53439a8eb1 9a4f92474f3b94f637172a2079787fff5961c2b8
55cdc9fd319150adc8ae7f23cc8760e0af78fc0d 8b78337a1b1d1467432b8658657d3e98d41e01ae
57bc083065a102abd30a1e9626e6f02067cfddd7 a878fc20b03b2c9cf715b5b62fc3b79cafc4cba0
584fe03573d5ee21df0c2fa0d0cc4023d4babd3a c1bfdd8978be54e631d725154a4bbfcf1d30c345
5fdb5a4634af4618f16d07cf0ebe31382a05319b 72ebd3fcc094bf0444593c4c420a147a970c1755
62ebb3fe753cd4f6ffdb47faadf377f4b3b12d70 79d8c17a7f631b09a1453d4fa2cc5c5d9a1daf74
63013aaf16ca854a34a7c487c107868555801a69 a180812dbd4492c724484678a95c221bea201215
6964361a119c0d83925ce58306fa2e0804fb029a 41884a728f0c0c69c31adbed3a91afaf23632105
6b601825788f5f38090f1e5f185abed7026b83b9 7efccb6e36d0df748c720df18c0a417bff414fa1
6ccc614be513f6613c17c2c0f986d7af7a43d7e5 9f23448c7483059118faadaada352fe4ec34f9a2
70574939489dbc5cbb9c3e931924cac7b97635ea b3c37345b8d04d2106f64e20cd278ba4d6ade072
750612d6ade9151a3a075cb239bb27b09bb0d298 3ac3683d27f55d8e4ed0a47adef0a40287219603
79dfa756f499c05a65098922b6222b81ccc8deb5 03f27f55b58977a19fdd9489286ce126ed5253cc
7aac48db88a98841644d1266d95c3a58817914ce 63c05a3a08404cb2ad9c6f1a55cf3e3c8f0624e9
81cc1116e48cd082ef5b5fa2ad804db709cb2379 cfbe47126f9a39b7a59f7cafcb70d725d36fcb3b
81d01ba3fbdfb7a9e2d40e1bfcb3cad8783ffc32 96eb07f472eb43101de26bef21a10f5da1e2d4ee
8314dc000b4af15f805949792e62d3d5732b6efe 6cf5c373912db22c84a5b08ee1e7dbb5f8a0c9a0
8d55c666c6a76a16b21fb61e52400bf643afd9fa d82e469028e011a93ca7dee194f177fc768e86a1
8e1e9550dbd34e00907c55b7447c66a342a14fcd b4575c128e1f74cd89dd6683013374bc1b3017a8
93cd88e94c43e1cd1e9eadaea7b0e64c37f4a4d2 79dbcedccc381ae645d897e70cbeff38dd84d904
9797231772bb5b9ea82afe48827a3ef162966e9e e93ebc7de854f367001668d7acf014e3d1977e51
9a7df3610c7e9d15a911659bebbc2c96caf786da 674f984c5362041c1e9f021bb793e8215babc72e
9adf702b4589dde800bf4377f0ffb2f419e41513 c6ad251cc9a9d93bc7c2a4f5b0cedc787b2897df
9bb2b00b0d4a11dc20451cf7a943e8134517d3f0 85de1a5a6d185865a28f645d15d59857942923d0
9c98c3eb1f98ad7b36ea2583fa3793a8b1b2d7ea 7b021f3f81aa02202f290cf5172672ab89b3d1b1
9c9df56dfdd6dd06b33fbf26da5de71056debd6a 4f13d1a79f044dcdd49c08b97fbc097b1d1a9e32
9e4662043d761e33fb16980fbaf7d3b7c14c29a9 dd870cc29e4cd387969d542cd12fb9e454ff0042
9f726a5a9bae9eea7231df5ed310439542b3de6a c1047b5cb275b2def6f6cc97e99d357138d7336f
a107290697ae81a741003a1d35d7dd57c9634996 6a334ef90c4d840ffd82523b7b6d6ce40cdfea55
a1c3f9d921cf2bd0c055ae914ae58fc39cde175e 7bde7b03fcb77a62862f03429ebc5e897006b459
a2bb954962790de93157d6ff0cc0b6b4e88697d9 d5270e4aeb59289cde737183a7eccd4ebc48d45c
a33ea238b758f30845240b590c8b893a7336b07d cad2eb003a6317561cac38fbe185925d82f18e7d
a73b7beb3eaaf4cc274b1165ab1ab980f4424b38 c420885f6ac94759d28f5a0f81e0d796e59afbbf
ae38fc7f874955aae6a037d6fc62fcdcfa8c243d 9cafb34f7cbeb04e5062668fe0c164d3dfe92825
b0af0b4259f86f73bec3dd7e059d0a46649704b0 4640aeb2d9e1e8fb8d911da37d809cdbb545fb40
b24e5b33e47a4528d3029151ec33dc4086fc53f0 d746fe57d39dd3fc347b810442564002438db2ec
b265066c71a434ece822f71a3b8d50b11b06132d 12ba356c2812d6c686b2c9648da1e9f06bc383bf
b334f92f7b5e264353186a58b51089e5cee240f7 67cdf54c9f4ce52045769a855f67fad974f58365
b33d066399539b35ccb98f9833f32a0a796520a7 e84ceb91722936c254ce19ada9e831c846ee1e87
b39628674ff9dcdec3bdd5e571f24a1c05403495 2dbbdf7bdf41b22b1092692e7ac72a76c54487cb
b7b5cd6459b9b766d4c26272b15703fe33285a5b 7be7c1f0947bb013383ccd12036a51e98c0ab6ba
bbba377c9698ef8155e773c2da504d779702ba5b 39cc47cee62f951e05d1a5b6554be68f8a83b347
bbcffdff736fe7d2672b5cf70064583c1c31b9f0 49f04fb9511b4d7562696cfe7d3ffe4c19611eff
bf0b2ab3f810ebc10b0ad80057c213f2a89cb871 a5543d36ac13a5cda508e28e1981733fc9a66c83
bf20f58632d323aa7128b2ac3ef3c875cf3345a6 7874ddb602d42522fec902e77c896ac0fb3d133b
c276c169ae3491c94e81be7c8524fd81d0010752 524a084b8c35868fc71cd2aee4d568409afbfd26
c32776fe31b1ae26994cba32c0f39fe40fdef91f f4903df681dcab9c039b6a78870c6f94d911fa89
c881b9d02d1bde5a0aff628749a0d6184d255861 d89d6802d5d7530935fd0f6147d243b04e703ebc
c8945dbd99e961f5d99df1804fbbd53c6c2fc965 cea6a1dc3141b695b6a6b28548f811a846d5b8fe
cac9b7025b938f3e1b9134cea79de9e86dcbc20a 8d8606a80aed41da08e8712132be5127c28ef24b
cd4ab4a8ac839180ad721b69d452d66bca16322a 3aabadf19d3c012139a89c29d8cef38721affbf5
ce3b2b430d6cb58ba20b1bd920125c32a6db99fd 191999176f686b28c78e82359f71043ee496547f
