old                                      new
061c1380f126dc6cd7b377a4deecc25619e6109a 6d19801b659bcb1c80e9d4fb47dc92dcecce07ef
096e607ffcf6b42ed8950770c60546ea245866dc 09ff6bea1e0f77632af73ff0887c9ed83e9993d7
0bbf9619fd97f74c3cb99872c43a365a554f7e97 63f15cd812ce4db4aea51396e5d9d5829f44c177
10ee629d7becdc19a97af87e2fc83b23d363c946 606ae5923456190dcf85168706acfacb22b9aa0b
12cfb784a5626429b5ee353eaaeb465e865e6b2b f36ea3ce377e7c6ab3f88c7ca205e441205ba0f6
13d1d12da05dc0e05f5c1bbec8d1591fef61db33 dc62eb9cbac2dc6cbff25363476e044eafe83a87
1f54c756b5bc076e428ecaf31268aab251df465a 04f21df3b0f1883540d31df207bb82289e2f5a9d
21899621edff38d6eb5f03dd44caeb7849b5aca0 8bfcd444d2da77c394a7f800b292a44474473457
317c9c909f301a9c4f893e0984a1e084d2abe555 7a90b9aeb335c9c0cc1bdfa071509eb22132f9b9
34285e738398bc93a52df87c22e7c684374270ac bf3eea649e92ec725448424778e4e5b843faecf6
6766bff9c2a3c59cdf2739429d962f938e1111c2 35989295fb220e9dfcef632018f81a51d2d5bb7e
6d0efa00d96ff54a0dbeb6289e7aff3125281f96 c8c64179607a18c4fc123976699fa8230be149c8
74eb9f77f1da2973646abc188903d587cc30e6e5 65d199e2a1810edf67eb0470482b3d2db0af2753
7cb8c430c64e92bfd8690cf3fd0deccc5fb32373 ea7debef73338d0430f78914c80ad374b1088da8
7fceb292696c64d652a948d15744e94c58573942 504977eb27312987a6825558de4465cabe0967f6
8bd2aecb066d18ccfd87d4c8f5611715419fa9c6 4a1616dc5ea30ad81ec44841363161125681a0a1
8fdc873121951d5eef3ad28a3fbda48520c3ac1e 283988f6e9a3f6872ba60686b19471d6becbd920
907e47bc6b13f42a0aa89eb80649b670af3aea15 20332a262cede58e0b004511e94dabe642fe2d60
95aa6a1c34904bdeafdc688e6515bab2e1b91ac4 ed94bb97f8546a8f8d5f68b97fea38258d4cb626
9654041f624937ade64d6b13aaba600028f92a68 bea97bac4a8ed1a4c5310b7846d059d7ea3db0c4
9a3487d1b8dbfea9f0802051725a7110b91d9f3e 3634284f0d4d9edd132da00ec9b0dd0dcb9a1eee
b55f5e1413e336151d99a2a9a5eaf0e7329cf3b4 b831643a79a607e0406ce6a1c2253a167043b074
bb883112e07e488d6d36783648d90c7c8a720ae5 b16fac7365d12ddfcca9a302a96aa2e91842b61c
c3a4377643bd7c9f68e7d9e409fcdd952f60bef8 89715dc3c9ae36ac7c291767281e8ca021e5d14d
c67db9760866ecf653faa625df32cc65744eb59a b9be5ece9f23356226a025817fd6742c09113024
cd1219810f606ca6a62c9f2fa6b058ed5d8941cc 25bd39a71ce140442252763a91ad0f8143d4d592
cf2601a5e92b1094cd43db05631c0ebb8e106fcd 842beea2254473ff9d661f07fac385a350bd1d34
deb93f753b08ce8b759e18e9a030c5e80d11eecd 871d50a82cdd7d6057d9c5c263f28ac8aa1fb01b
e24c2a3d1ef904e83d4370eaf81d66d5ebfdf859 1b79620471816d54a2b9c588c8736260a287b25c
e67c53844413e27962eae039009b1687a42bd799 636c4444fb26895905a6b2c624bed4e8de63f935
e88dad766487ce8373e185efe2e8e00eb254b2df 9d3264254db9e6a6ef6ec1632ed85195536f7cf9
eede5888426a9c973c63e6909822875826d6b96b 00382bd571446cfe53b294ae486482d5a0ddb2dc
ef2450ec6ae2bcfd59365e23a6d44f8a1c17a5bc 5f8a5aef2fb7eb216b805f70284c33c28baba81a
f10f48e3b0250c3dd38540cd21cfe4eb1acf39cb 52ffaf5b264932716303cf53f512a0f613738a64
f43a1c548a39d70932b17cdd21de58ee6441cc9d ddd65b7a4236a8c6004349b8c42da8a0136e59c4
f813b0fad183f2988907ab9d0b74e4e44e428d5e c646bb08e6f50c3a61b216cb34fbd77b0a0ff269
f9e76ac10c0b29b31cb9a26029969acc4c430746 9a2a8c4d9445c93e1d8d64b2c24e6f97854057bb
