old                                      new
014897af5ccf1ae87ea815c0c0a474ccc98b2c60 78406d6a4ca9cf5038955e6925bc16a973aa5fab
212e5d8a84e91bcd5a6e12ce5874f648c6aaea59 08029840a74b96f1fce7c31426426024fd3a4a2d
2eda35888e01b0a4a05ce80fec674acdf76c7775 3957f95d1fdf9b01a9f8ee66523f3fa3f556ca06
3499bb53483a8bdf6e4d940e218692b088fcf9c3 f8c2a7c04065053c116974f7f1b414bc48882177
40d59e4dbd944a3853311509de52eedfa181fed9 76e28475925d7990e5e22c19644a7313f38dbcce
4bbac7ad6ca3c1ab7f3321ae7911dbad055ef10b 3d5eca90cd552730dc47eb326b11c7d1972965e2
55b9238bd15c6977c09ad437707eefe4f8c6cddd e586f900f015f4168f560a7ce3ce20d8dc7ea096
6970e2c7161c03777a140293e6df1b1ccac77d71 2e35554e9e79682dd7a67a574a08a66e841d82a7
6cf969a291bf55207010f48234f6d3cdd1f1f75b 22ba3641e2445a79d791398d29b3dca4c9062429
7a2c894773a796608521ba6bbd8abb788d46262a aee02871efd61f83783235792464814465042d2a
9ac0aa08ed65b683f32bc7fff0c9d0ea3ebbba9e 245708608b147f6a6e65d0143d59405e762635ac
a46c8ff2952d395d27019e5cf3fa4c920deedb78 7d940ee6eea03f4e4055884f8a69c67d05a90d97
ba6383e16fef9c3f1aac29ab4d5750f752a41504 a56dc1e5a28f1a03e985b4d7b7622f0afe37a4e0
c1bfc7eb88f0e758731840f7d14bc04df9b91889 ed24a6bd3dc14950df405c025e39d4084fe07ea0
c971409bc3dd700a75a2e317fe5e22258cc23052 0d78578bb4389f303ae217ac9ec9e4bd42beb243
cd3826acac55d2e18510cf3d8b56bb3a17a270c6 7542b9090383335b2b9a9f06270684a31b0b01bd
dc6217a3a7c8f3be9abd1c382e17ddf8b06d9731 b7cc554c8e73df289ff32ff1bbdc99f21afe966c
f2a58d05a7c1051c4fffcccc74d165d7b246c221 61f3637e3d45c6dcf4700c8029182e47db5286bf
