old                                      new
0f4879b36efcb81ffdd53c1503cd070a4ed35be7 e5bcbc38a767525a8b808c13101d35a7baccd4ce
1cae437a065578b13f389a07c1e17f86e6a4c555 3e47dbbe5e132850ba464549da68df74de6b7ab5
1de10b393f4a8820a15cfac32908faa2c5eeb3a0 e57f7d6579ff14c38cf88918d6e660ccae28c419
21e5750fa9bcabc80191259cd921a3ca17c379bb 5c53636c9ff4d70d5cb153d2bdee2e308ef36e63
28d03e11eccd9bda2ff623b01b0cdce12ac6dd7a 0cb62432bf57a43c08030c825b536130ca00ec1c
2ef5181b31e4f5236f510d7c641209e11856fec3 108cc44a8bbc3d2bc95df194989813ad9569cc12
3953875c08a0e8e1a1bd6b9985e2063cafee63a6 a7b3b2da16b93dddb80879494b2266ede4af1b27
3a6d6fefc5632ea6213bcc29467cc66fa5928a20 ea3fb8525147ba047f457a332bca7e7adc68664b
3bbe19b773a0e02162e44ebd0968f5444b91718c 569b28c3b7c2b304649453064a2c2a7ab4c6bd94
445004a2f156a710732924256c1df295f565e0fc 87a45ac71c03f224407732ccd212ccbab0ad67dd
48da76f5b1a169fa3b8c4b0794c237cee791cbc2 7a5c2cb0122ece2eba813edc0ef84b8faf608459
4e2ce9c0f0f0a28b94aec3337564fcae28f02d63 933d66c6fb131cf23d03e21bf7b98ed3118f23dc
4f9bd341c9005f0a6cf4f3336ad4d86b33b7ebfc f6ea28c4cb8ce4a218dc9f807e58f6081d4f017a
54bd5e3df0d2e1806a5300a567d9648a5c264758 db071f9e6c40ba6bf5bbe07025ef1d2a66d1bf8b
55b9238bd15c6977c09ad437707eefe4f8c6cddd bb941c8ebbd5c90a2665cf1a8dcf4ba5d192190a
56ed52b2e66b1e61cf1d5eec2e9017aa2805c610 f438e288f02220ea58b344155251db4bb072d5d5
6281fc8727c24855cb39a7a6cd05d07c39961fc8 f5728c939abc4d933185e227ba3613c8f9713225
650d970fd172fee6b669298f512eed1efe11813e 5159bc05e3930f93c109434dbf55a4646183f738
6f336ea7112847541dcbe99bbef647f6a5fd7bb4 fe8291e5b710a753d3ce9bc28bcfd057fa0ef501
6fb20526db22b06962d883fbadacd5c8378a151d 5fab5eb62f1ae4d38c0aa4ea1463f30701188b61
71dbfdbbad1271a6aeadca6a71b544def04c5b92 e0668c6761bcd50f2e0ad2a410b918f2a6e7b6e8
74cf105275ea354937a30f5c4e7031f2f33fcf1c 80b8fdc053ea8f99fecd69b010904a8ba5b98d17
7801c4c4263de96f1bb4b93707377fd9cd86c6cb 9bd6422b13c370fad2b571c4bd2e80c28cf43e3b
805ba12aad0926fdb86a1e658e801463524a55de 6bcd59223f6438aef650250919a08f8fb1064e48
84a7b450003345ffc25f690d75423184c5ec7c3b 134e5f80290773c8e4b1b5d8a8539da0ffc36798
89cbf5582fd2849c13a952d5dc62156ec0e12081 fd782ddbc3ae79fcd4f08a6297ae20a6a3246f54
8a29a67aaca3b12095a760cbbc324f857705fe3d 204c860cd58c8c5dac555dfe80b8c4796e727553
93650f54d48034171738643bb1a36366fbada478 6e188b22a17c0de1320df9c31de56832342ddd2c
97fa9b1960f773fc5effdd8c3ddb7f2f296f5b43 299712879df9b3b1204c1a0909e2c46f85b8a798
9cefaaa37d827b109c1738d18f10b79dc5570ebe 9aa90c6fd9438ccd1f003b4c4e0f6aaeefe5e7ce
9e83d9ac304eeed416efe7e43b3fc0bd3ad1013a 10ab4a94d3fcbc994c29f25a3a1470a5675a1b1a
a3fa738a72950ee97237409a94170ef38d42eff1 a51011b43aa1778e070952b060d60e6390df7f46
afdc61992cda4382e3b89bc98dae8d16256fd33c 106eda4962049e9c454afd2fa9b0f2e99309c3cc
b0b9d13e44164100e6441aaab07df5b2981ea818 db6469c7dd31567a4695940c53610c69d752e06f
b84780ffd352a97a12481dc46151070b1194b467 92a6d4bc5727f063892563c1408a5bdbb500cfd4
c1bfc7eb88f0e758731840f7d14bc04df9b91889 f2c9bc657736c4b59c127c447f27b5be0d16935f
c971409bc3dd700a75a2e317fe5e22258cc23052 ec4c2c1fc7f4fefcd75a8108f5b48151c67a1faf
ccac2a0f1c272a8cac9970b884f69e7f827602f1 e0f454c34deecc8adcee549c0f6544620138c262
cd3826acac55d2e18510cf3d8b56bb3a17a270c6 c719d317699dd1fd0dbab37e046c6846c22a2c59
d652f2f8f284828fe74d58cedcb294130d0e03cd 6e81f07ad5761b6e32babb8f5d8a735745c9cd36
d95e7c4fd38fd402bf203e89162668177b73c5ae 793dc289b65d0bddf89501a4bf985c9af02d8636
e222760801a1cc890af4e20dcdc7adf0d4619082 d5a6b707e5e41fc0ed51cb4c930ce6208bd3e2c4
e7a2c070c5a0d6519589920baa13e3ce5c4757b9 32fb57b890ae8e7a7977260496d873148aebe7c1
eef5095187246da2593e4547a637957dc1853db9 70c896992bca2f12c75592788bec459b8d078a02
ef305b633a3d7b25965943caa6491e92bee86b86 2acd716f7fec6f61ef821c296d650a9ccbaa5394
f73afcccc91e52c5e22aa8125ba87fd4b85d17b6 ae120b274c6f9ab9a5a5225d8e8b45e097f8f694
fbf733f92df56a14bb089ed5800105a9b9daf277 30f8664fcad484ca2e1cb0dd9b84e0fbe569e836
fdb7e7d8d82d626224c3a67d1e67f43e9fef953f 11fea13c7967958f214579af1de673654f7392a8
